"row_index","batch","cell_type","cell_observed_mixing_score"
611,"P56_batch2","Podo",0.633333333333333
612,"P56_batch2","stroma2",0.466666666666667
613,"P56_batch2","PT",0.633333333333333
614,"P56_batch2","PT",0.266666666666667
615,"P56_batch2","PT2",0.633333333333333
616,"P56_batch2","DCT",0.233333333333333
617,"P56_batch2","DCT",0.266666666666667
618,"P56_batch2","PT",0.433333333333333
619,"P56_batch2","PT",0.666666666666667
620,"P56_batch2","PT2",0.466666666666667
621,"P56_batch2","PT2",0.2
622,"P56_batch2","immune",0.566666666666667
623,"P56_batch2","PT2",0.2
624,"P56_batch2","LOH",0.433333333333333
625,"P56_batch2","DCT",0.4
626,"P56_batch2","PT",0.466666666666667
627,"P56_batch2","PT2",0.5
628,"P56_batch2","PT",0.4
629,"P56_batch2","Endo",0.533333333333333
630,"P56_batch2","Endo",0.466666666666667
631,"P56_batch2","PT2",0.133333333333333
632,"P56_batch2","DCT",0.4
633,"P56_batch2","Podo",0.6
634,"P56_batch2","immune",0.4
635,"P56_batch2","LOH",0.533333333333333
636,"P56_batch2","PT2",0.466666666666667
637,"P56_batch2","PT",0.666666666666667
638,"P56_batch2","CNT",0.566666666666667
639,"P56_batch2","LOH",0.4
640,"P56_batch2","LOH",0.433333333333333
641,"P56_batch2","Endo",0.733333333333333
642,"P56_batch2","DCT",0.4
643,"P56_batch2","LOH",0.466666666666667
644,"P56_batch2","immune",0.233333333333333
645,"P56_batch2","PT",0.266666666666667
646,"P56_batch2","LOH",0.333333333333333
647,"P56_batch2","LOH",0.366666666666667
648,"P56_batch2","PT2",0.666666666666667
649,"P56_batch2","PT",0.3
650,"P56_batch2","stroma2",0.5
651,"P56_batch2","PT2",0.466666666666667
652,"P56_batch2","PT2",0.233333333333333
653,"P56_batch2","PT2",0.7
654,"P56_batch2","Endo",0.533333333333333
655,"P56_batch2","PT",0.533333333333333
656,"P56_batch2","LOH",0.633333333333333
657,"P56_batch2","Endo",0.8
658,"P56_batch2","LOH",0.333333333333333
659,"P56_batch2","CNT",0.633333333333333
660,"P56_batch2","CNT",0.8
661,"P56_batch2","CNT",0.633333333333333
662,"P56_batch2","PT",0.866666666666667
663,"P56_batch2","LOH",0.366666666666667
664,"P56_batch2","PT_out",0.6
665,"P56_batch2","PT",0.366666666666667
666,"P56_batch2","PT",0.333333333333333
667,"P56_batch2","LOH",0.333333333333333
668,"P56_batch2","PT",0.433333333333333
669,"P56_batch2","PT2",0.133333333333333
670,"P56_batch2","PT",0.466666666666667
671,"P56_batch2","PT",0.833333333333333
672,"P56_batch2","PT2",0.366666666666667
673,"P56_batch2","PT",0.533333333333333
674,"P56_batch2","DCT",0.433333333333333
675,"P56_batch2","LOH",0.466666666666667
676,"P56_batch2","PT",0.533333333333333
677,"P56_batch2","PT2",0.166666666666667
678,"P56_batch2","PT",0.433333333333333
679,"P56_batch2","LOH",0.333333333333333
680,"P56_batch2","LOH",0.6
681,"P56_batch2","PT2",0.566666666666667
682,"P56_batch2","NP_LOH",0.266666666666667
