"row_index","batch","cell_type","cell_observed_mixing_score"
608,"P56_batch2","PT",0.833333333333333
609,"P56_batch2","PT",0.0666666666666667
610,"P56_batch2","Endo",0.166666666666667
611,"P56_batch2","Podo",0.333333333333333
612,"P56_batch2","stroma2",0.5
613,"P56_batch2","PT",0
614,"P56_batch2","PT",0
615,"P56_batch2","PT2",0.2
616,"P56_batch2","DCT",0
617,"P56_batch2","DCT",0
618,"P56_batch2","PT",0.0666666666666667
619,"P56_batch2","PT",0
620,"P56_batch2","PT2",0
621,"P56_batch2","PT2",0.6
622,"P56_batch2","immune",0.633333333333333
623,"P56_batch2","PT2",0.8
624,"P56_batch2","LOH",0.3
625,"P56_batch2","DCT",0
626,"P56_batch2","PT",0.766666666666667
627,"P56_batch2","PT2",0
628,"P56_batch2","PT",0.6
629,"P56_batch2","Endo",0.1
630,"P56_batch2","Endo",0.9
631,"P56_batch2","PT2",0
632,"P56_batch2","DCT",0
633,"P56_batch2","Podo",0.2
634,"P56_batch2","immune",0.666666666666667
635,"P56_batch2","LOH",0.533333333333333
636,"P56_batch2","PT2",0.0666666666666667
637,"P56_batch2","PT",0.733333333333333
638,"P56_batch2","CNT",0
639,"P56_batch2","LOH",0.0666666666666667
640,"P56_batch2","LOH",0.1
641,"P56_batch2","Endo",0.366666666666667
642,"P56_batch2","DCT",0
643,"P56_batch2","LOH",0
644,"P56_batch2","immune",0.533333333333333
645,"P56_batch2","PT",0.0666666666666667
646,"P56_batch2","LOH",0.833333333333333
647,"P56_batch2","LOH",0
648,"P56_batch2","PT2",0.0333333333333333
649,"P56_batch2","PT",0.0333333333333333
650,"P56_batch2","stroma2",0.333333333333333
651,"P56_batch2","PT2",0.6
652,"P56_batch2","PT2",0.0333333333333333
653,"P56_batch2","PT2",0
654,"P56_batch2","Endo",0.1
655,"P56_batch2","PT",0.366666666666667
656,"P56_batch2","LOH",0
657,"P56_batch2","Endo",0.3
658,"P56_batch2","LOH",0.0666666666666667
659,"P56_batch2","CNT",0
660,"P56_batch2","CNT",0
661,"P56_batch2","CNT",0.6
662,"P56_batch2","PT",0.6
663,"P56_batch2","LOH",0.266666666666667
664,"P56_batch2","PT_out",0.0333333333333333
665,"P56_batch2","PT",0
666,"P56_batch2","PT",0
667,"P56_batch2","LOH",0.266666666666667
668,"P56_batch2","PT",0
669,"P56_batch2","PT2",0
670,"P56_batch2","PT",0.1
671,"P56_batch2","PT",0
672,"P56_batch2","PT2",0.466666666666667
673,"P56_batch2","PT",0.0666666666666667
674,"P56_batch2","DCT",0
675,"P56_batch2","LOH",0.1
676,"P56_batch2","PT",0
677,"P56_batch2","PT2",0
678,"P56_batch2","PT",0
679,"P56_batch2","LOH",0.133333333333333
680,"P56_batch2","LOH",0.0666666666666667
681,"P56_batch2","PT2",0.666666666666667
682,"P56_batch2","NP_LOH",0.533333333333333
683,"P56_batch2","stroma2",0.1
684,"P56_batch2","PT",0.0666666666666667
685,"P56_batch2","PT",0.5
686,"P56_batch2","stroma2",0
687,"P56_batch2","PT2",0
688,"P56_batch2","PT",0
689,"P56_batch2","Endo",0.3
690,"P56_batch2","stroma2",0.933333333333333
691,"P56_batch2","PT",0.1
692,"P56_batch2","PT",0.766666666666667
693,"P56_batch2","PT",0.633333333333333
694,"P56_batch2","PT",0.666666666666667
695,"P56_batch2","PT2",0.733333333333333
696,"P56_batch2","PT",0.333333333333333
697,"P56_batch2","Endo",0.533333333333333
698,"P56_batch2","DCT",0
699,"P56_batch2","PT2",0.0333333333333333
700,"P56_batch2","PT",0.2
701,"P56_batch2","LOH",0.0666666666666667
